,YEAR,STATEFIPS,Est Num Eligible,Est Proportion Eligible
128,2008,30,402655.0,0.41620668982055736
129,2008,31,754156.0,0.4228678189019823
130,2008,32,1072473.0,0.41246312256097395
131,2008,33,483383.0,0.3673656282940761
132,2008,34,3411690.0,0.39293138359311736
133,2008,35,900524.0,0.45381171523658054
134,2008,36,8203332.0,0.42089312440954596
135,2008,37,3971553.0,0.43064137003608816
136,2008,38,245800.0,0.3831758072335736
137,2008,39,4821271.0,0.4197552479516207
138,2008,40,1639612.0,0.4501508774116569
139,2008,41,1564993.0,0.41292037593072406
140,2008,42,4893898.0,0.39313852139721484
141,2008,44,408733.0,0.38897760537805914
142,2008,45,1968213.0,0.4393528728961114
143,2008,46,337410.0,0.41956294128033783
144,2008,47,2685953.0,0.43218043511001325
145,2008,48,11730117.0,0.48218561831816814
