,STATEFIPS,Monthly TANF Applications,YEAR,Total population,Number in poverty,Percent in poverty,TANF apps / Ind in poverty
215,25,3752.0,2009,6623000,717000,10.8,0.005232914923291493
216,26,5343.0,2009,9797000,1376000,14,0.003882994186046512
217,27,5726.0,2009,5200000,576000,11.1,0.009940972222222223
218,28,2413.0,2009,2847000,658000,23.1,0.0036671732522796353
219,29,5421.0,2009,5963000,926000,15.5,0.005854211663066954
220,30,847.0,2009,971000,131000,13.5,0.006465648854961832
221,31,1939.0,2009,1778000,176000,9.9,0.011017045454545455
222,32,4045.0,2009,2629000,343000,13,0.011793002915451895
223,33,1368.0,2009,1313000,103000,7.8,0.013281553398058253
224,34,3856.0,2009,8660000,806000,9.3,0.004784119106699752
225,35,3618.0,2009,1971000,381000,19.3,0.009496062992125985
226,36,19168.0,2009,19160000,3018000,15.8,0.006351225977468522
227,37,4372.0,2009,9336000,1576000,16.9,0.0027741116751269037
228,38,569.0,2009,632000,69000,10.9,0.008246376811594203
229,39,20372.0,2009,11440000,1526000,13.3,0.013349934469200525
230,40,2925.0,2009,3632000,468000,12.9,0.00625
231,41,2894.0,2009,3821000,510000,13.4,0.0056745098039215685
232,42,15996.0,2009,12400000,1376000,11.1,0.011625
233,44,659.0,2009,1030000,134000,13,0.004917910447761194
234,45,5620.0,2009,4501000,618000,13.7,0.009093851132686084
235,46,510.0,2009,799000,113000,14.1,0.004513274336283186
236,47,11972.0,2009,6240000,1031000,16.5,0.011612027158098934
237,48,29054.0,2009,24630000,4262000,17.3,0.0068169873298920694
238,49,2836.0,2009,2794000,270000,9.7,0.010503703703703704
239,50,1406.0,2009,617000,58000,9.4,0.024241379310344827
240,51,4925.0,2009,7767000,831000,10.7,0.0059265944645006015
241,53,11861.0,2009,6697000,781000,11.7,0.015186939820742637
242,54,1262.0,2009,1801000,285000,15.8,0.004428070175438597
243,55,2082.0,2009,5545000,599000,10.8,0.0034757929883138562
244,56,111.0,2009,540000,50000,9.2,0.00222
245,02,804.9166666666666,2010,695000,87000,12.5,0.00925191570881226
246,04,5400.25,2010,6426000,1208000,18.8,0.004470405629139073
247,05,2861.5833333333335,2010,2879000,440000,15.3,0.006503598484848485
248,06,44245.833333333336,2010,37240000,6073000,16.3,0.00728566331851364
249,08,2712.5,2010,4995000,615000,12.3,0.004410569105691057
250,09,2005.25,2010,3541000,303000,8.6,0.006617986798679868
251,10,1012.6666666666666,2010,890000,109000,12.2,0.00929051987767584
252,12,39715.333333333336,2010,18760000,3006000,16,0.01321202040363717
253,13,7165.916666666667,2010,9650000,1814000,18.8,0.003950339948548328
254,15,1470.3333333333333,2010,1311000,162000,12.4,0.009076131687242799
255,16,635.75,2010,1543000,213000,13.8,0.002984741784037559
256,17,3037.0833333333335,2010,12780000,1798000,14.1,0.0016891453466814981
257,18,15373.833333333334,2010,6390000,1041000,16.3,0.014768331732308678
258,19,1173.0833333333333,2010,2977000,307000,10.3,0.003821118349619978
259,20,4154.0,2010,2766000,400000,14.5,0.010385
260,21,4441.583333333333,2010,4270000,754000,17.7,0.005890694076038904
261,22,1175.8333333333333,2010,4418000,949000,21.5,0.0012390235335440814
262,23,1443.4166666666667,2010,1298000,164000,12.6,0.008801321138211382
263,24,6367.666666666667,2010,5786000,628000,10.9,0.0101395966029724
264,25,3620.9166666666665,2010,6532000,711000,10.9,0.005092709798406001
265,26,18220.666666666668,2010,9751000,1530000,15.7,0.011908932461873639
266,27,5596.25,2010,5217000,563000,10.8,0.009940053285968028
267,28,2093.0833333333335,2010,2920000,658000,22.5,0.0031809777102330297
268,29,4833.166666666667,2010,5929000,890000,15,0.005430524344569289
269,30,776.9166666666666,2010,979000,142000,14.5,0.005471244131455399
270,31,2457.25,2010,1804000,184000,10.2,0.013354619565217392
271,32,4096.833333333333,2010,2696000,446000,16.6,0.009185724962630792
272,33,1367.9166666666667,2010,1294000,84000,6.5,0.016284722222222225
273,34,3682.6666666666665,2010,8733000,966000,11.1,0.0038122843340234643
274,35,3841.25,2010,2033000,372000,18.3,0.010325940860215054
275,36,19545.833333333332,2010,19120000,3062000,16,0.006383355105595471
276,37,4165.333333333333,2010,9359000,1633000,17.4,0.002550724637681159
277,38,525.5833333333334,2010,653000,82000,12.6,0.006409552845528456
278,39,20787.666666666668,2010,11340000,1746000,15.4,0.011905880106911036
279,40,3146.5,2010,3697000,603000,16.3,0.005218076285240464
280,41,2985.3333333333335,2010,3752000,537000,14.3,0.005559279950341403
281,42,10363.416666666666,2010,12530000,1535000,12.2,0.006751411509229099
282,44,773.75,2010,1042000,146000,14,0.005299657534246575
283,45,6231.166666666667,2010,4563000,773000,16.9,0.008061017680034498
284,46,524.4166666666666,2010,799000,109000,13.6,0.004811162079510703
285,47,11457.75,2010,6315000,1052000,16.7,0.010891397338403042
286,48,27150.666666666668,2010,25200000,4633000,18.4,0.005860277717821426
287,49,4115.333333333333,2010,2768000,278000,10,0.01480335731414868
288,50,1397.4166666666667,2010,624000,67000,10.8,0.020856965174129355
289,51,4732.25,2010,7837000,835000,10.7,0.005667365269461078
290,53,11808.5,2010,6713000,779000,11.6,0.015158536585365853
291,54,1240.0833333333333,2010,1816000,306000,16.8,0.00405255991285403
292,55,2706.9166666666665,2010,5626000,567000,10.1,0.004774103468547912
293,56,125.16666666666667,2010,550000,53000,9.6,0.002361635220125786
