,STATEFIPS,Total population,Number in poverty,Percent in poverty,YEAR
2195,51,5329000,668000,12.5,1982
2196,53,4259000,549000,12.9,1982
2197,54,1951000,484000,24.8,1982
2198,55,4733000,452000,9.5,1982
2199,56,481000,58000,12,1982
2200,02,403000,36000,9,1981
2201,04,2751000,323000,11.7,1981
2202,05,2247000,541000,24.1,1981
2203,06,24110000,3216000,13.3,1981
2204,08,2958000,285000,9.6,1981
2205,09,3084000,254000,8.2,1981
2206,10,587000,72000,12.3,1981
2208,12,10280000,1704000,16.6,1981
2209,13,5415000,881000,16.3,1981
2210,15,953000,108000,11.3,1981
2211,16,962000,171000,17.7,1981
2212,17,11340000,1371000,12.1,1981
2213,18,5431000,685000,12.6,1981
2214,19,2815000,368000,13.1,1981
2215,20,2282000,267000,11.7,1981
2216,21,3668000,708000,19.3,1981
2217,22,4262000,938000,22,1981
2218,23,1116000,179000,16,1981
2219,24,4123000,442000,10.7,1981
2220,25,5804000,518000,8.9,1981
2221,26,9096000,1184000,13,1981
2222,27,4034000,438000,10.9,1981
2223,28,2408000,618000,25.7,1981
2224,29,4814000,634000,13.2,1981
2225,30,813000,107000,13.1,1981
2226,31,1579000,221000,14,1981
2227,32,884000,93000,10.5,1981
2228,33,929000,70000,7.6,1981
2229,34,7331000,736000,10,1981
2230,35,1303000,243000,18.6,1981
2231,36,17470000,2516000,14.4,1981
2232,37,5820000,1016000,17.5,1981
2233,38,626000,89000,14.2,1981
2234,39,10750000,1369000,12.7,1981
2235,40,2985000,413000,13.8,1981
2236,41,2693000,331000,12.3,1981
2237,42,11740000,1367000,11.6,1981
2238,44,936000,109000,11.7,1981
2239,45,3347000,615000,18.4,1981
2240,46,675000,132000,19.5,1981
2241,47,4502000,943000,20.9,1981
2242,48,14640000,2258000,15.4,1981
2243,49,1516000,185000,12.2,1981
2244,50,535000,66000,12.3,1981
2245,51,5257000,662000,12.6,1981
2246,53,4168000,471000,11.3,1981
2247,54,2003000,398000,19.9,1981
2248,55,4741000,384000,8.1,1981
2249,56,482000,43000,8.9,1981
2250,02,379000,36000,9.6,1980
2251,04,2774000,354000,12.8,1980
2252,05,2249000,484000,21.5,1980
2253,06,23750000,2619000,11,1980
2254,08,2869000,247000,8.6,1980
2255,09,3090000,255000,8.3,1980
2256,10,578000,68000,11.8,1980
2258,12,10100000,1692000,16.7,1980
2259,13,5243000,727000,13.9,1980
2260,15,954000,81000,8.5,1980
2261,16,934000,138000,14.7,1980
2262,17,11260000,1386000,12.3,1980
2263,18,5490000,645000,11.8,1980
2264,19,2868000,311000,10.8,1980
2265,20,2286000,215000,9.4,1980
2266,21,3641000,701000,19.3,1980
2267,22,4273000,868000,20.3,1980
2268,23,1077000,158000,14.6,1980
2269,24,4104000,389000,9.5,1980
2270,25,5725000,542000,9.5,1980
2271,26,9227000,1194000,12.9,1980
2272,27,3920000,342000,8.7,1980
2273,28,2429000,591000,24.3,1980
2274,29,4800000,625000,13,1980
2275,30,774000,102000,13.2,1980
2276,31,1532000,199000,13,1980
2277,32,840000,70000,8.3,1980
2278,33,907000,63000,7,1980
2279,34,7316000,659000,9,1980
2280,35,1304000,268000,20.6,1980
2281,36,17320000,2391000,13.8,1980
2282,37,5836000,877000,15,1980
2283,38,640000,99000,15.5,1980
2284,39,10630000,1046000,9.8,1980
2285,40,2916000,406000,13.9,1980
2286,41,2684000,309000,11.5,1980
2287,42,11670000,1142000,9.8,1980
2288,44,911000,97000,10.7,1980
2289,45,3174000,534000,16.8,1980
2290,46,677000,127000,18.8,1980
2291,47,4519000,884000,19.6,1980
2292,48,14330000,2247000,15.7,1980
2293,49,1488000,148000,10,1980
2294,50,520000,62000,12,1980
2295,51,5204000,647000,12.4,1980
2296,53,4223000,538000,12.7,1980
2297,54,1952000,297000,15.2,1980
2298,55,4724000,403000,8.5,1980
2299,56,468000,49000,10.4,1980
