,STATEFIPS,YEAR,Child Poverty Rate
1006,56,2013,0.13
1114,56,2018,0.14
1115,55,2018,0.14
1116,54,2018,0.25
1117,53,2018,0.13
1118,51,2018,0.14
1119,50,2018,0.12
1120,49,2018,0.1
1121,48,2018,0.21
1122,47,2018,0.22
1123,46,2018,0.16
1124,45,2018,0.23
1125,44,2018,0.18
1126,42,2018,0.17
1127,41,2018,0.16
1128,40,2018,0.22
1129,39,2018,0.2
1130,38,2018,0.1
1131,37,2018,0.2
1132,36,2018,0.19
1133,35,2018,0.26
1134,34,2018,0.14
1135,33,2018,0.11
1136,32,2018,0.18
1137,31,2018,0.13
1138,30,2018,0.16
1139,29,2018,0.18
1140,28,2018,0.28
1141,27,2018,0.12
1142,26,2018,0.19
1143,25,2018,0.12
1144,24,2018,0.12
1145,23,2018,0.14
1146,22,2018,0.26
1147,21,2018,0.23
1148,20,2018,0.15
1149,19,2018,0.14
1150,18,2018,0.18
1151,17,2018,0.16
1152,16,2018,0.14
1153,15,2018,0.12
1154,13,2018,0.2
1155,12,2018,0.2
1157,10,2018,0.19
1158,09,2018,0.14
1159,08,2018,0.12
1161,06,2018,0.17
1162,05,2018,0.25
1163,04,2018,0.2
1164,02,2018,0.14
1165,01,2018,0.24
1167,01,2009,0.25
1168,02,2009,0.13
1169,04,2009,0.23
1170,05,2009,0.27
1171,06,2009,0.2
1172,10,2009,0.16
1173,08,2009,0.17
1174,09,2009,0.12
1176,12,2009,0.21
1177,13,2009,0.22
1178,15,2009,0.14
1179,16,2009,0.18
1180,17,2009,0.19
1181,18,2009,0.2
1182,19,2009,0.16
1183,20,2009,0.18
1184,21,2009,0.26
1185,22,2009,0.24
1186,23,2009,0.17
1187,24,2009,0.12
1188,25,2009,0.13
1189,26,2009,0.23
1190,27,2009,0.14
1191,28,2009,0.31
1192,29,2009,0.21
1193,30,2009,0.21
1194,31,2009,0.15
1195,32,2009,0.18
1196,33,2009,0.11
1197,34,2009,0.13
1198,35,2009,0.25
1199,36,2009,0.2
1200,37,2009,0.23
1201,38,2009,0.13
1202,41,2009,0.19
1203,39,2009,0.22
1204,40,2009,0.22
1205,42,2009,0.17
1206,44,2009,0.17
1207,45,2009,0.24
1208,46,2009,0.19
1209,47,2009,0.24
1210,48,2009,0.24
1211,49,2009,0.12
1212,50,2009,0.13
1213,51,2009,0.14
1214,53,2009,0.16
1215,54,2009,0.24
1216,55,2009,0.17
1217,56,2009,0.13
1326,56,2010,0.14
1327,55,2010,0.19
1328,54,2010,0.25
1329,53,2010,0.18
1330,51,2010,0.14
1331,50,2010,0.17
1332,49,2010,0.16
1333,48,2010,0.26
1334,47,2010,0.26
1335,46,2010,0.18
1336,45,2010,0.26
1337,44,2010,0.19
1338,42,2010,0.19
1339,40,2010,0.25
1340,39,2010,0.23
1341,41,2010,0.22
1342,38,2010,0.16
1343,37,2010,0.25
1344,36,2010,0.21
1345,35,2010,0.3
1346,34,2010,0.14
1347,33,2010,0.1
1348,32,2010,0.22
1349,31,2010,0.18
1350,30,2010,0.2
1351,29,2010,0.21
1352,28,2010,0.33
1353,27,2010,0.15
1354,26,2010,0.23
1355,25,2010,0.14
1356,24,2010,0.13
1357,23,2010,0.18
1358,22,2010,0.27
1359,21,2010,0.26
1360,20,2010,0.18
1361,19,2010,0.16
1362,18,2010,0.22
1363,17,2010,0.19
1364,16,2010,0.19
1365,15,2010,0.14
1366,13,2010,0.25
1367,12,2010,0.23
1369,09,2010,0.13
1370,08,2010,0.17
1371,10,2010,0.18
1372,06,2010,0.22
1373,05,2010,0.28
1374,04,2010,0.24
1375,02,2010,0.13
1376,01,2010,0.28
1378,01,2015,0.27
1379,02,2015,0.15
1380,04,2015,0.25
1381,06,2015,0.21
1382,05,2015,0.27
1384,08,2015,0.15
1385,09,2015,0.15
1386,10,2015,0.19
1388,12,2015,0.23
1389,13,2015,0.24
1390,16,2015,0.18
1391,15,2015,0.14
1392,17,2015,0.19
1393,18,2015,0.21
1394,19,2015,0.15
1395,20,2015,0.17
1396,21,2015,0.26
1397,23,2015,0.17
1398,22,2015,0.28
1399,24,2015,0.13
1400,25,2015,0.15
1401,26,2015,0.22
1402,27,2015,0.13
1403,28,2015,0.31
1404,29,2015,0.2
1405,31,2015,0.17
1406,30,2015,0.19
1407,32,2015,0.21
1408,33,2015,0.11
1409,34,2015,0.16
1410,35,2015,0.29
1411,36,2015,0.22
1412,38,2015,0.12
1413,37,2015,0.23
1414,39,2015,0.21
1415,40,2015,0.22
1416,41,2015,0.2
1417,42,2015,0.19
1418,44,2015,0.19
1419,45,2015,0.24
1420,47,2015,0.24
1421,46,2015,0.18
1422,48,2015,0.23
1423,49,2015,0.13
1424,50,2015,0.13
1425,51,2015,0.15
1426,53,2015,0.16
1427,55,2015,0.16
1428,54,2015,0.25
1429,56,2015,0.13
1537,55,2011,0.18
1538,56,2011,0.16
1540,54,2011,0.26
1541,53,2011,0.18
1542,51,2011,0.15
1543,50,2011,0.15
1544,49,2011,0.16
1545,48,2011,0.27
1546,47,2011,0.26
1547,46,2011,0.18
1548,45,2011,0.28
1549,44,2011,0.22
1550,42,2011,0.2
1551,41,2011,0.24
1552,39,2011,0.24
1553,40,2011,0.23
1554,38,2011,0.15
1555,37,2011,0.26
1556,36,2011,0.23
1557,35,2011,0.31
1558,34,2011,0.15
1559,33,2011,0.12
1560,32,2011,0.22
1561,31,2011,0.18
1562,30,2011,0.2
1563,29,2011,0.22
1564,28,2011,0.32
1565,27,2011,0.15
1566,26,2011,0.25
1567,23,2011,0.19
1568,24,2011,0.14
1569,25,2011,0.15
1570,22,2011,0.29
1571,21,2011,0.27
1572,20,2011,0.19
1573,19,2011,0.17
1574,18,2011,0.23
1575,17,2011,0.22
1576,16,2011,0.2
1577,15,2011,0.17
1578,13,2011,0.26
1579,12,2011,0.25
1581,10,2011,0.17
1582,08,2011,0.18
1583,09,2011,0.15
1584,06,2011,0.23
1585,05,2011,0.28
1586,04,2011,0.27
1587,02,2011,0.15
1588,01,2011,0.28
1591,01,2012,0.27
1592,02,2012,0.14
1593,04,2012,0.27
1594,05,2012,0.29
1595,06,2012,0.24
1596,09,2012,0.15
1597,08,2012,0.18
1598,10,2012,0.17
1600,12,2012,0.25
1601,13,2012,0.27
1602,15,2012,0.17
1603,16,2012,0.21
1604,17,2012,0.21
1605,18,2012,0.22
1606,19,2012,0.16
1607,20,2012,0.19
1608,21,2012,0.27
1609,22,2012,0.28
1610,25,2012,0.15
1611,24,2012,0.14
1612,23,2012,0.21
1613,26,2012,0.25
1614,27,2012,0.15
1615,28,2012,0.35
1616,29,2012,0.23
1617,30,2012,0.2
1618,31,2012,0.18
1619,32,2012,0.24
1620,33,2012,0.16
1621,34,2012,0.15
1622,35,2012,0.29
1623,36,2012,0.23
1624,37,2012,0.26
1625,38,2012,0.13
1626,40,2012,0.24
1627,39,2012,0.24
1628,41,2012,0.23
1629,42,2012,0.2
1630,44,2012,0.19
1631,45,2012,0.27
1632,46,2012,0.17
1633,47,2012,0.26
1634,48,2012,0.26
1635,49,2012,0.15
1636,50,2012,0.15
1637,51,2012,0.15
1638,53,2012,0.19
1639,54,2012,0.25
1641,56,2012,0.17
1642,55,2012,0.18
1750,56,2014,0.13
1751,55,2014,0.18
1752,54,2014,0.25
1753,53,2014,0.18
1754,51,2014,0.16
1755,50,2014,0.16
